,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,price,year,month,house_soldtime
37,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1730,4700,640000,2014,Dec,9
38,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1290,7800,240000,2015,Feb,8
39,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,2620,11884,605000,2014,Jun,9
40,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2470,5669,625000,2014,Jul,9
41,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,2410,30617,775000,2014,Aug,9
42,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,3625,5639,861990,2014,Jul,9
43,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1580,2640,685000,2014,Oct,9
44,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1340,8808,309000,2014,Jul,9
45,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,3050,9232,488000,2014,Jul,9
46,3,1.0,990,8528,1.0,0,0,3,6,990,0,1228,8840,210490,2015,Mar,8
47,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,2680,13685,785000,2014,Jul,9
48,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,970,5100,450000,2015,Apr,8
49,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,2680,72513,1350000,2015,Mar,8
50,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1190,9364,228000,2014,Sep,9
51,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1990,9133,345000,2015,Feb,8
52,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1410,4080,600000,2014,Dec,9
53,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1480,6738,585000,2015,Feb,8
54,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,2730,6000,920000,2015,Mar,8
55,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1950,5000,885000,2014,May,9
56,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2250,4500,292500,2014,Aug,9
57,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2690,4750,301000,2015,Apr,8
58,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,2960,11044,951000,2014,Aug,9
59,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,2270,8542,430000,2015,Feb,8
60,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,2570,18900,650000,2014,Dec,9
61,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1290,8750,289000,2014,Aug,9
62,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,2500,9500,505000,2014,Oct,9
63,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,1580,3090,549000,2014,Dec,9
64,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1440,4080,425000,2014,Jun,9
65,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1440,4000,317625,2014,Nov,9
66,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,2750,11049,975000,2014,Sep,9
67,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2221,4557,287000,2014,Oct,9
68,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1010,12635,204000,2014,Aug,9
69,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,3390,20158,1330000,2014,Jun,9
70,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,3530,38917,1040000,2014,Sep,9
71,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1640,4745,325000,2015,Jan,8
72,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1510,7807,571000,2014,Jun,9
73,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2420,5000,360000,2014,Jul,9
74,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1940,50529,349000,2015,Mar,8
75,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,3240,35020,832500,2014,Nov,9
76,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1680,7500,380000,2014,Oct,9
77,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,890,5060,480000,2015,Apr,8
78,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1130,5693,410000,2014,Jun,9
79,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,3350,39750,720000,2015,Mar,8
80,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2350,5363,390000,2014,Dec,9
81,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1870,6405,360000,2014,Dec,9
82,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1720,6720,355000,2014,Oct,9
83,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1850,8797,356000,2015,Jan,8
84,3,1.0,960,6634,1.0,0,0,3,6,960,0,1570,7203,315000,2014,Jun,9
85,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,2020,4800,940000,2014,Nov,9
86,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1590,8165,305000,2014,Nov,9
87,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,1900,7349,461000,2014,Jun,9
88,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1950,2025,215000,2014,May,9
89,2,1.75,1030,1066,2.0,0,0,3,7,765,265,1030,1106,335000,2014,Sep,9
90,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1980,7510,243500,2014,May,9
91,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2520,6250,1100000,2015,Mar,8
92,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1350,10500,153000,2015,Feb,8
93,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1570,4500,430000,2014,Jul,9
94,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1570,4500,700000,2014,Dec,9
95,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1950,6045,905000,2014,Sep,9
96,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1750,15616,247500,2015,Mar,8
97,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1160,6400,199000,2014,Sep,9
98,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1650,135036,314000,2014,Jul,9
99,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,2550,35065,437500,2014,May,9
100,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,2200,4500,850830,2014,Jun,9
101,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1610,3478,555000,2014,Oct,9
102,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,2570,47777,699950,2014,Dec,9
103,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,2370,8113,1090000,2014,Oct,9
104,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1640,14910,290000,2014,Sep,9
105,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,2250,8162,375000,2015,Apr,8
106,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1240,4005,460000,2014,May,9
107,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1270,4966,188500,2014,Jul,9
108,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,2990,35001,680000,2015,Mar,8
109,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,2500,9433,470000,2014,Aug,9
110,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1940,9636,597750,2014,Jul,9
111,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1380,3536,570000,2015,Mar,8
112,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1540,11656,272500,2014,Sep,9
113,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,2090,5500,329950,2014,Nov,9
114,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2640,8517,480000,2014,Oct,9
115,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1830,6350,740500,2014,Nov,9
116,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,1620,3166,518500,2014,Jun,9
117,2,1.0,880,6780,1.0,0,0,4,6,880,0,1190,6780,205425,2014,Jun,9
118,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1880,9000,171800,2015,Jan,8
119,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1610,4040,535000,2015,May,8
120,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,2340,10856,660000,2015,Jan,8
121,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1580,9104,391500,2014,Nov,9
122,2,1.0,770,6000,1.0,0,0,3,6,770,0,1710,6000,395000,2015,Apr,8
123,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1850,4400,445000,2014,Nov,9
124,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,2700,13992,770000,2014,Jun,9
125,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,3060,11275,1450000,2015,Mar,8
126,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,2660,8712,445000,2014,Jul,9
127,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,2090,8400,260000,2014,Jul,9
128,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1700,4960,822500,2014,Jun,9
129,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,1970,3748,430000,2015,Apr,8
130,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1420,7680,212000,2015,Jan,8
131,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,2060,9793,660500,2015,Apr,8
132,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,2480,88500,784000,2014,Jun,9
133,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,1690,1662,453246,2014,May,9
134,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,1540,2285,675000,2015,Jan,8
135,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1550,19265,199000,2014,Aug,9
136,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1750,8140,220000,2014,Aug,9
137,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1550,10436,452000,2014,May,9
138,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1060,5715,382500,2014,Jul,9
139,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,1350,1310,519950,2014,May,9
140,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1170,3600,665000,2014,Jun,9
141,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,2820,9375,527700,2014,Jul,9
142,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1610,8579,205000,2015,May,8
143,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1560,7940,420000,2015,Apr,8
144,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,2230,8824,500000,2015,Feb,8
145,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,2840,87991,921500,2014,Dec,9
146,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,2200,4000,890000,2014,Jun,9
147,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,1940,193842,430000,2014,Aug,9
148,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1360,18000,258000,2014,Oct,9
149,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1450,4599,511000,2014,Nov,9
150,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1500,3090,532170,2014,Aug,9
151,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1420,5000,560000,2015,Apr,8
152,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1680,8633,282950,2015,Mar,8
153,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,3160,9750,2250000,2015,Apr,8
154,1,1.0,700,5100,1.0,0,0,3,7,700,0,1010,5100,350000,2014,May,9
155,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1190,7669,215000,2014,Jul,9
156,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,2640,13675,650000,2014,Nov,9
157,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1980,7875,320000,2014,Aug,9
158,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1160,7198,247000,2014,Nov,9
159,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1730,11180,320000,2014,Oct,9
160,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1010,11680,255000,2014,May,9
161,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1200,9660,438000,2015,Mar,8
162,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,3400,12601,900000,2015,Mar,8
163,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1710,8152,441000,2014,Jun,9
164,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,2110,36590,420000,2014,Aug,9
165,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1640,7500,370000,2014,Dec,9
166,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1830,9750,269950,2015,Feb,8
167,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,2920,4500,807100,2015,Mar,8
168,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,2480,8750,653000,2014,Jun,9
169,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1770,7288,371500,2014,Jun,9
170,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1070,7920,284000,2015,Mar,8
171,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1930,7350,272000,2015,Jan,8
172,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1480,7940,313000,2014,May,9
173,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,3740,35230,917500,2015,Jan,8
174,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,2260,8335,673000,2014,Sep,9
175,3,2.5,1120,1100,2.0,0,0,3,8,820,300,1590,1795,425000,2015,Feb,8
176,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1280,2150,399950,2014,Jul,9
177,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1200,4800,385000,2014,May,9
178,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1950,8941,269950,2014,Nov,9
179,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1540,8280,330000,2015,Jan,8
180,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1670,6183,260000,2014,Jul,9
181,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1410,5375,470000,2015,Apr,8
182,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,2290,9600,589000,2014,Jun,9
183,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1050,3417,163500,2014,Jul,9
184,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,2260,9984,835000,2014,Sep,9
185,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,2540,10270,1100000,2014,Nov,9
186,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,2190,8910,269000,2015,Apr,8
187,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,2030,8744,560000,2014,May,9
188,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1330,4400,615000,2015,Apr,8
189,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,2230,9340,585188,2014,Dec,9
190,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1540,8400,305000,2014,Aug,9
191,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1230,7980,166950,2014,Nov,9
192,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,2680,10083,799000,2014,Sep,9
193,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1900,7818,400000,2014,Jun,9
194,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1570,10228,230000,2014,Dec,9
195,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2550,5001,256883,2014,May,9
196,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1500,6480,423000,2014,Nov,9
197,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,1750,2385,465000,2014,Jul,9
198,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,2330,67268,440000,2015,Jan,8
199,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1560,50965,385000,2014,Oct,9
200,3,1.0,860,11725,1.0,0,0,4,6,860,0,1300,9514,210000,2015,Mar,8
201,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,2030,10450,297000,2014,Nov,9
202,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1680,5000,470000,2014,Jul,9
203,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1430,7500,226500,2014,Aug,9
204,3,1.0,910,8450,1.0,0,0,4,6,910,0,1400,8040,274250,2015,Mar,8
205,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,2770,10744,840000,2014,Aug,9
206,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2750,4587,677900,2014,Sep,9
207,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1290,5000,425000,2015,Feb,8
208,2,0.75,900,9600,1.0,0,0,3,6,900,0,1250,14280,180250,2014,Nov,9
209,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1560,1312,464000,2014,Jul,9
210,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1630,6397,320000,2015,Apr,8
211,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,1160,1327,625504,2014,Jul,9
212,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,2520,12368,592500,2014,May,9
213,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,2590,18386,465000,2015,Jan,8
214,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,2130,8700,477000,2014,May,9
215,2,1.0,850,16400,1.0,0,0,3,6,850,0,1100,14459,280000,2015,Jan,8
216,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,3836,20953,1510000,2015,Feb,8
217,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,1320,5390,445838,2014,Jul,9
218,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,2580,5184,1070000,2014,Aug,9
219,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,2120,12040,467000,2014,Oct,9
220,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,3070,8127,686000,2014,Aug,9
221,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1900,10125,279950,2014,Jun,9
222,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,1910,10055,527000,2014,Sep,9
223,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,2080,9583,325000,2014,Sep,9
224,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,2020,8031,328000,2014,Sep,9
225,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1280,7392,390000,2014,Jun,9
226,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,1640,6009,479950,2015,Mar,8
227,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1510,9753,264950,2014,May,9
228,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1960,13068,235000,2015,Jan,8
229,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2250,4729,516500,2015,Mar,8
230,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,2030,13193,655000,2015,Apr,8
231,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,2280,15347,500000,2014,Jun,9
232,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,2120,8236,315000,2014,Nov,9
233,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1150,13702,213000,2014,Nov,9
234,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,2090,4800,475000,2014,Sep,9
235,5,4.0,3760,28040,2.0,0,0,3,10,3760,0,3430,35096,1030000,2014,Jun,9
236,3,2.0,2220,94300,1.0,0,0,5,7,1640,580,2070,80100,416000,2015,Apr,8
237,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1510,4740,410000,2015,Mar,8
238,3,3.5,3830,221284,2.0,0,0,3,10,3530,300,2920,148539,800000,2014,Jul,9
239,6,2.5,4410,14034,1.0,0,2,4,9,2350,2060,2600,13988,472000,2014,May,9
240,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1190,8640,225000,2014,Dec,9
241,2,1.0,830,6000,1.0,0,0,3,6,830,0,830,4960,210000,2014,Oct,9
242,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,1450,3750,455000,2015,Jan,8
243,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,1260,8316,225000,2015,Apr,8
244,2,1.0,1030,3060,1.0,0,2,4,7,790,240,1390,3060,480000,2014,Aug,9
245,3,2.5,2740,11872,2.0,0,0,3,9,2740,0,2570,10377,363000,2015,Feb,8
246,4,2.5,3650,8354,1.0,1,4,3,9,1830,1820,3120,18841,2400000,2014,Sep,9
247,2,1.5,720,5120,1.0,0,0,3,6,720,0,1150,2566,181000,2015,Feb,8
248,4,2.0,2010,7312,1.0,0,0,4,7,2010,0,2010,7650,250000,2015,Mar,8
249,3,1.75,1560,3000,1.0,0,0,4,6,770,790,1390,3000,481000,2015,Apr,8
250,3,2.0,1810,7209,1.0,0,0,4,7,1240,570,1750,7209,260000,2014,Sep,9
251,4,2.5,3360,7685,2.0,0,0,3,9,3360,0,3060,6567,455000,2014,May,9
252,3,2.25,1510,36224,2.0,0,0,3,8,1510,0,1730,36224,415000,2015,Apr,8
253,3,1.0,1400,3538,1.0,0,0,3,7,800,600,1620,6331,349500,2015,Apr,8
254,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,1630,6458,245000,2014,Sep,9
255,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,1420,6816,592500,2014,May,9
256,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,1910,7620,385000,2014,Oct,9
257,3,1.75,1580,11455,1.0,0,0,4,7,1200,380,1550,10650,315000,2015,Feb,8
258,3,1.0,1230,10170,1.0,0,0,3,7,1230,0,1380,10098,255000,2014,Nov,9
259,4,2.5,2460,4425,2.0,0,0,3,8,2460,0,2990,5659,693000,2014,Aug,9
260,3,1.0,1660,4400,1.5,0,0,3,8,1460,200,1660,4400,780000,2014,Dec,9
261,3,1.75,1270,8470,1.0,0,0,4,7,1270,0,1600,8470,237000,2014,Oct,9
262,3,2.25,2100,40510,2.0,0,0,3,10,1320,780,2380,33450,525000,2014,Dec,9
263,2,1.0,770,5040,1.0,0,0,3,5,770,0,1330,2580,425000,2015,Apr,8
264,1,0.75,760,10079,1.0,1,4,5,5,760,0,1230,14267,369900,2014,Oct,9
265,4,2.5,1700,7280,2.0,0,0,4,7,1700,0,1950,7475,290000,2014,May,9
266,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,1130,6350,285000,2014,Sep,9
267,2,1.0,1070,4500,1.0,0,0,3,7,1070,0,1320,4465,415000,2014,Aug,9
268,3,2.5,2070,9900,1.0,0,0,3,8,1420,650,2070,8250,272500,2015,Apr,8
269,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,3890,20060,2900000,2015,May,8
270,4,4.75,5310,57346,2.0,0,0,4,11,5310,0,4180,47443,1370000,2014,Oct,9
271,2,1.0,1040,7538,1.0,0,0,4,7,1040,0,1440,7530,436000,2015,May,8
272,3,1.0,1700,11390,1.0,0,0,4,7,1700,0,1350,8164,210000,2014,Oct,9
273,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1320,7619,236000,2014,Sep,9
274,3,1.75,1080,1306,1.0,0,0,3,7,580,500,1440,2225,331000,2014,Nov,9
275,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,2653,4927,365000,2015,Mar,8
276,3,2.0,2290,16258,1.0,0,0,5,8,2290,0,1660,10530,450000,2015,Jan,8
277,4,2.75,3820,26300,2.0,0,0,3,9,2850,970,1860,12136,770000,2014,Nov,9
278,4,2.5,2210,49375,1.0,0,0,3,8,2210,0,2670,49385,455000,2015,May,8
279,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,2020,6000,405000,2015,May,8
280,4,1.75,2600,11325,1.0,0,0,4,7,1610,990,1720,11088,304900,2014,Jul,9
281,2,1.0,860,5265,1.0,0,0,3,6,860,0,1650,8775,170000,2015,Feb,8
282,5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,3050,7556,2050000,2015,May,8
