,lat,long,zipcode
146,47.6354,-122.353,98109
147,47.5262,-121.943,98027
148,47.3887,-122.286,98032
149,47.6873,-122.336,98103
150,47.6838,-122.353,98103
151,47.655,-122.359,98107
152,47.3255,-122.304,98003
153,47.562,-122.162,98006
154,47.679,-122.3,98115
155,47.4479,-122.176,98058
156,47.525,-122.172,98056
157,47.3135,-122.369,98023
158,47.2086,-121.996,98022
159,47.4715,-122.118,98059
160,47.4877,-122.335,98146
161,47.7171,-122.193,98034
162,47.6012,-122.023,98075
163,47.7319,-122.224,98034
164,47.4582,-122.023,98027
165,47.7209,-122.168,98034
166,47.408,-122.327,98198
167,47.565,-122.125,98006
168,47.7028,-122.231,98034
169,47.7458,-122.331,98133
170,47.4776,-122.337,98166
171,47.3026,-122.374,98023
172,47.7658,-122.339,98133
173,47.6477,-122.182,98033
174,47.5619,-122.125,98006
175,47.6106,-122.31,98122
176,47.5868,-122.308,98144
177,47.6101,-122.307,98122
178,47.1976,-121.999,98022
179,47.7224,-122.358,98177
180,47.3505,-122.179,98030
181,47.5384,-122.376,98126
182,47.7044,-122.2,98034
183,47.3848,-122.039,98038
184,47.6993,-122.102,98052
185,47.6627,-122.188,98033
186,47.3099,-122.379,98023
187,47.62,-122.043,98074
188,47.65,-122.34,98103
189,47.6647,-122.153,98052
190,47.726,-122.191,98034
191,47.4616,-122.184,98058
192,47.5505,-122.219,98040
193,47.7606,-122.336,98133
194,47.7481,-122.3,98155
195,47.2779,-122.347,98023
196,47.5511,-122.312,98108
197,47.5488,-122.372,98126
198,47.5385,-121.911,98024
199,47.4058,-121.994,98038
200,47.5093,-122.184,98056
201,47.3777,-122.165,98042
202,47.675,-122.394,98107
203,47.3025,-122.37,98023
204,47.4787,-122.158,98059
205,47.5378,-122.219,98040
206,47.7073,-122.114,98052
207,47.5733,-122.381,98116
208,47.4604,-122.339,98166
209,47.7067,-122.343,98133
210,47.354,-122.047,98038
211,47.6647,-122.284,98105
212,47.6143,-122.017,98074
213,47.3185,-122.275,98001
214,47.5458,-122.268,98118
215,47.4889,-122.299,98168
216,47.5673,-122.21,98040
217,47.5133,-122.379,98146
218,47.5884,-122.291,98144
219,47.7145,-122.367,98177
220,47.5836,-122.026,98075
221,47.398,-122.299,98198
222,47.7663,-122.215,98011
223,47.3758,-122.217,98030
224,47.3828,-122.023,98038
225,47.5123,-122.373,98146
226,47.7076,-122.013,98053
227,47.2922,-122.371,98023
228,47.4075,-122.214,98031
229,47.6794,-122.034,98053
230,47.4497,-122.375,98166
231,47.5218,-122.164,98059
232,47.3103,-122.339,98023
233,47.5687,-121.899,98024
234,47.5575,-122.303,98108
235,47.6489,-122.183,98033
236,47.3459,-121.95,98010
237,47.6136,-122.303,98122
238,47.7641,-122.023,98077
239,47.3376,-122.324,98003
240,47.3173,-122.319,98003
241,47.5308,-122.376,98126
242,47.6727,-122.299,98115
243,47.3221,-122.216,98002
244,47.6779,-122.353,98103
245,47.3076,-122.395,98023
246,47.6338,-122.072,98074
247,47.5218,-122.357,98106
248,47.2785,-122.213,98002
249,47.6846,-122.345,98103
250,47.3656,-122.278,98032
251,47.4369,-122.111,98058
252,47.4616,-121.711,98045
253,47.5405,-122.27,98118
254,47.3507,-122.178,98030
255,47.6979,-122.32,98115
256,47.5278,-122.345,98106
257,47.4756,-122.147,98059
258,47.4437,-121.772,98045
259,47.7048,-122.109,98052
260,47.6362,-122.302,98112
261,47.4207,-122.29,98198
262,47.6154,-122.047,98074
263,47.5964,-122.299,98144
264,47.4683,-122.438,98070
265,47.4045,-122.171,98031
266,47.5544,-122.358,98106
267,47.6802,-122.29,98115
268,47.2988,-122.371,98023
269,47.6312,-122.223,98004
270,47.7285,-122.042,98077
271,47.7107,-122.352,98133
272,47.3271,-122.323,98003
273,47.5053,-122.255,98178
274,47.6601,-122.4,98199
275,47.4145,-122.166,98031
276,47.4672,-122.165,98058
277,47.7618,-122.261,98028
278,47.3828,-122.071,98038
279,47.5362,-122.268,98118
280,47.3954,-122.206,98031
281,47.5048,-122.272,98178
282,47.6166,-122.287,98122
283,47.6811,-122.025,98053
284,47.7486,-122.23,98028
285,47.3846,-122.169,98030
286,47.7564,-122.144,98072
287,47.7198,-122.193,98034
288,47.5461,-122.151,98006
289,47.5712,-122.143,98006
290,47.4281,-122.343,98166
291,47.7128,-122.223,98034
292,47.3341,-122.255,98001
293,47.5399,-122.181,98056
294,47.5717,-122.375,98126
295,47.5951,-122.017,98075
296,47.3536,-122.144,98042
297,47.5084,-122.154,98059
298,47.5586,-122.311,98108
299,47.4427,-122.274,98188
300,47.6053,-122.077,98074
301,47.3494,-122.301,98003
302,47.6933,-122.393,98117
303,47.3537,-122.0,98038
304,47.476,-122.337,98166
305,47.6239,-122.298,98112
306,47.7776,-122.384,98177
307,47.6459,-122.058,98074
308,47.6692,-122.297,98105
309,47.5376,-122.18,98056
310,47.601,-122.294,98144
311,47.529,-121.837,98065
312,47.6345,-122.367,98119
313,47.5503,-122.102,98006
314,47.5503,-122.102,98006
315,47.4441,-122.125,98058
316,47.7357,-122.333,98133
317,47.346,-122.157,98042
318,47.6638,-122.345,98103
319,47.48,-122.336,98166
320,47.6759,-122.151,98052
321,47.5162,-122.057,98027
322,47.2639,-122.252,98001
323,47.2929,-122.371,98023
324,47.4957,-122.352,98146
325,47.4957,-122.352,98146
326,47.7721,-122.093,98077
327,47.644,-122.319,98102
328,47.472,-122.344,98166
329,47.592,-122.166,98005
330,47.669,-122.275,98105
331,47.42,-122.323,98198
332,47.1913,-122.012,98022
333,47.6666,-122.331,98103
334,47.5639,-122.217,98040
335,47.3483,-122.052,98038
336,47.7648,-122.164,98072
337,47.6794,-122.357,98103
338,47.7535,-122.354,98133
339,47.4945,-122.22,98178
340,47.6945,-122.093,98052
341,47.5222,-122.157,98059
342,47.7222,-122.32,98125
343,47.3796,-122.49,98070
344,47.5374,-121.875,98065
345,47.4897,-122.24,98178
346,47.4897,-122.24,98178
347,47.4716,-122.078,98059
348,47.3581,-122.173,98030
349,47.7713,-122.307,98155
350,47.675,-121.854,98014
351,47.5603,-122.222,98040
352,47.4147,-122.337,98166
353,47.68,-122.353,98103
354,47.3117,-122.27,98001
355,47.543,-122.28,98118
356,47.3607,-122.034,98038
357,47.5759,-122.137,98006
358,47.6891,-122.159,98033
359,47.565,-122.381,98116
360,47.6359,-121.974,98053
361,47.4769,-122.141,98059
362,47.3845,-122.029,98038
363,47.6743,-122.184,98033
364,47.5651,-122.164,98006
365,47.4853,-121.709,98045
366,47.4508,-122.359,98166
367,47.6375,-122.016,98074
368,47.5944,-122.042,98075
369,47.4888,-122.182,98056
370,47.5112,-122.19,98056
371,47.7711,-122.341,98133
372,47.7711,-122.341,98133
373,47.2813,-122.345,98023
374,47.5038,-122.189,98056
375,47.5823,-121.97,98075
376,47.7164,-122.304,98125
377,47.3624,-122.045,98038
378,47.6831,-122.329,98115
379,47.592,-122.307,98144
380,47.7461,-122.195,98011
381,47.7268,-122.06,98077
382,47.7237,-121.959,98019
383,47.6283,-122.095,98052
384,47.5543,-122.148,98006
385,47.5483,-122.226,98040
386,47.7591,-122.146,98072
387,47.4612,-122.169,98058
388,47.4987,-122.365,98146
389,47.772,-122.358,98177
390,47.5287,-122.35,98106
391,47.6109,-122.114,98008
392,47.7736,-121.901,98019
393,47.6294,-122.218,98004
394,47.5634,-122.213,98040
395,47.7405,-122.241,98028
396,47.5976,-122.118,98008
397,47.5722,-122.129,98006
398,47.5644,-122.289,98118
399,47.4556,-122.157,98058
400,47.6055,-122.305,98122
401,47.1775,-122.022,98022
402,47.6879,-122.385,98117
403,47.4807,-121.779,98045
404,47.3845,-122.032,98038
405,47.5815,-122.402,98116
406,47.6609,-122.344,98103
407,47.3163,-122.188,98092
408,47.4309,-122.191,98055
409,47.401,-122.026,98038
410,47.404,-122.191,98031
411,47.3889,-122.482,98070
412,47.7718,-122.095,98077
413,47.7067,-122.2,98034
414,47.504,-122.227,98178
415,47.7015,-122.164,98052
416,47.5753,-121.95,98024
417,47.7448,-122.333,98133
418,47.7318,-121.982,98019
419,47.5954,-121.95,98024
420,47.6885,-122.337,98103
421,47.5724,-122.179,98006
422,47.5272,-122.169,98056
423,47.4334,-122.161,98058
424,47.6073,-122.308,98122
425,47.3592,-122.046,98038
426,47.4546,-122.337,98166
427,47.6408,-122.219,98004
428,47.7245,-122.2,98034
429,47.4362,-122.178,98058
430,47.3739,-122.156,98042
431,47.7205,-122.127,98052
432,47.6636,-122.33,98103
433,47.4324,-122.197,98055
434,47.7734,-122.224,98011
435,47.559,-122.164,98006
436,47.633,-122.041,98074
437,47.6954,-122.103,98052
438,47.6776,-122.318,98115
439,47.504,-122.382,98146
440,47.2613,-122.255,98001
441,47.3417,-122.271,98001
442,47.6694,-122.275,98105
443,47.4056,-121.955,98038
444,47.3838,-122.289,98032
445,47.7487,-122.082,98072
446,47.5534,-122.078,98027
447,47.7355,-122.18,98034
448,47.7206,-122.211,98034
449,47.7691,-122.262,98028
450,47.7183,-122.258,98034
451,47.7736,-122.214,98011
452,47.362,-122.029,98038
453,47.5698,-122.121,98006
454,47.5505,-122.221,98040
455,47.7605,-122.234,98028
456,47.7356,-122.157,98072
457,47.3844,-122.438,98070
458,47.4904,-122.226,98055
459,47.3663,-122.089,98042
460,47.5637,-122.123,98006
461,47.3759,-122.125,98042
462,47.3912,-122.167,98031
463,47.3305,-122.371,98023
464,47.7617,-122.357,98133
465,47.6499,-121.909,98014
466,47.7311,-122.353,98133
467,47.3701,-122.107,98042
468,47.4857,-122.318,98168
469,47.3724,-122.042,98038
470,47.4855,-122.266,98178
471,47.6336,-122.064,98074
472,47.717,-122.281,98125
473,47.6332,-122.066,98074
474,47.5906,-122.062,98074
475,47.5461,-121.998,98029
476,47.5674,-122.29,98118
477,47.6943,-122.29,98115
478,47.5486,-122.38,98126
479,47.6658,-122.188,98033
480,47.5772,-122.153,98006
481,47.3875,-122.161,98042
482,47.6344,-122.174,98005
483,47.5275,-122.391,98136
484,47.6179,-122.005,98074
485,47.3078,-122.378,98023
486,47.5521,-122.137,98006
487,47.5158,-122.264,98118
488,47.5985,-121.977,98075
489,47.5645,-122.082,98027
490,47.6734,-122.154,98052
491,47.4734,-122.186,98055
492,47.3811,-122.087,98042
493,47.7081,-122.215,98034
494,47.7193,-122.216,98034
495,47.6192,-122.301,98112
496,47.5836,-122.387,98116
497,47.3841,-122.284,98032
498,47.5872,-122.39,98116
499,47.5322,-121.88,98065
500,47.5416,-121.864,98065
501,47.6799,-122.381,98117
502,47.3672,-122.151,98042
503,47.684,-122.205,98033
504,47.4404,-122.191,98055
505,47.4467,-122.281,98188
506,47.6729,-122.363,98107
507,47.5346,-122.385,98136
508,47.6454,-122.373,98119
509,47.6821,-122.196,98033
510,47.7206,-122.11,98052
511,47.4877,-122.139,98059
512,47.6554,-122.018,98053
513,47.7343,-122.347,98133
514,47.5789,-122.393,98116
515,47.7439,-122.339,98133
516,47.3818,-122.225,98030
517,47.6734,-122.173,98033
518,47.6415,-122.285,98112
519,47.4711,-122.084,98059
520,47.452,-122.177,98058
521,47.4973,-122.221,98178
522,47.7546,-122.341,98133
523,47.4667,-122.215,98055
524,47.5186,-122.374,98126
525,47.6221,-122.193,98004
526,47.683,-122.039,98053
527,47.6033,-121.943,98024
528,47.7315,-122.305,98125
529,47.6917,-122.084,98052
530,47.3608,-122.056,98038
531,47.2852,-122.19,98092
532,47.5931,-122.071,98075
533,47.4097,-122.316,98198
534,47.3105,-122.021,98010
535,47.4296,-122.161,98058
536,47.7373,-122.197,98011
537,47.6582,-122.345,98103
538,47.3577,-122.16,98042
539,47.449,-122.205,98055
540,47.4169,-122.348,98166
541,47.5025,-122.186,98056
542,47.3644,-122.28,98032
543,47.5896,-122.009,98075
544,47.3914,-122.169,98031
545,47.7197,-122.131,98052
546,47.5623,-122.116,98006
547,47.5213,-122.357,98106
548,47.4518,-122.16,98058
549,47.4949,-122.3,98168
550,47.5885,-122.248,98040
551,47.6452,-122.411,98199
552,47.749,-122.305,98155
553,47.4727,-122.198,98055
554,47.7403,-122.256,98028
555,47.5146,-122.117,98059
556,47.5666,-122.231,98040
557,47.4339,-122.291,98188
558,47.6368,-122.097,98052
559,47.3628,-122.075,98042
560,47.52,-121.845,98065
561,47.2953,-122.083,98092
562,47.6935,-122.352,98103
563,47.6239,-122.023,98074
564,47.5846,-122.168,98005
565,47.6969,-122.026,98053
566,47.505,-122.259,98178
567,47.667,-122.289,98105
568,47.6376,-122.353,98109
569,47.6929,-121.87,98014
570,47.3572,-122.015,98038
571,47.5816,-121.97,98075
572,47.5502,-122.311,98108
573,47.6136,-122.299,98122
574,47.4478,-122.161,98058
575,47.4219,-122.007,98038
576,47.3521,-122.212,98002
577,47.7466,-122.029,98077
578,47.7727,-122.229,98028
579,47.3062,-122.371,98023
580,47.5422,-121.86,98065
581,47.3366,-122.306,98003
582,47.573,-122.409,98116
583,47.7258,-122.177,98034
584,47.4025,-122.176,98031
585,47.476,-121.755,98045
586,47.6045,-122.307,98122
587,47.6366,-122.058,98074
588,47.3725,-122.06,98038
589,47.5897,-122.292,98144
590,47.6277,-121.972,98053
591,47.1803,-121.974,98022
592,47.4489,-122.188,98055
593,47.3665,-122.017,98038
594,47.4964,-122.251,98178
595,47.492,-122.317,98168
596,47.5496,-122.373,98126
597,47.5008,-121.776,98045
598,47.2846,-122.341,98023
599,47.5494,-122.216,98040
600,47.7123,-122.027,98053
601,47.3131,-122.115,98092
602,47.3122,-121.996,98010
603,47.6947,-122.125,98052
604,47.5665,-122.018,98029
605,47.425,-122.283,98188
606,47.6634,-122.34,98103
607,47.7047,-122.373,98177
608,47.3666,-122.084,98042
609,47.7466,-122.242,98028
610,47.6972,-122.35,98103
611,47.6372,-122.395,98199
612,47.5694,-122.001,98029
613,47.6214,-122.024,98074
614,47.3961,-122.188,98031
615,47.7162,-122.309,98125
616,47.6844,-122.113,98052
617,47.5737,-122.018,98029
618,47.4474,-121.771,98045
619,47.3128,-122.184,98092
620,47.4022,-122.171,98031
621,47.5671,-122.391,98116
622,47.2876,-122.212,98002
623,47.682,-122.372,98117
624,47.7125,-122.331,98133
625,47.496,-122.239,98178
626,47.5876,-122.309,98144
627,47.6821,-122.273,98115
628,47.6581,-122.396,98199
629,47.3496,-122.094,98042
630,47.1951,-122.001,98022
631,47.6539,-122.396,98199
632,47.5375,-122.178,98056
633,47.7605,-122.267,98028
634,47.6663,-122.326,98105
635,47.6978,-122.13,98052
636,47.3221,-122.215,98002
637,47.4488,-122.275,98188
638,47.2681,-122.31,98003
639,47.5821,-122.39,98116
640,47.5395,-122.39,98136
641,47.336,-122.269,98001
642,47.7679,-122.261,98028
643,47.5818,-122.402,98116
644,47.5317,-121.853,98065
645,47.3647,-122.05,98038
646,47.5338,-122.384,98136
647,47.6681,-122.305,98105
648,47.4152,-122.3,98198
649,47.5044,-122.35,98146
650,47.4793,-122.346,98166
651,47.7627,-122.076,98077
652,47.5193,-122.274,98118
653,47.555,-122.379,98126
654,47.526,-121.826,98065
655,47.655,-122.124,98052
656,47.7022,-122.224,98034
657,47.6718,-122.267,98105
658,47.6327,-122.109,98052
659,47.6245,-122.198,98004
660,47.4761,-121.758,98045
661,47.5221,-122.045,98027
662,47.7522,-122.278,98155
663,47.7145,-122.311,98125
664,47.7404,-122.11,98072
665,47.4834,-122.159,98059
666,47.7049,-122.353,98133
667,47.6915,-122.381,98117
668,47.336,-122.319,98003
669,47.6597,-122.274,98105
670,47.6759,-122.286,98115
671,47.6988,-122.319,98115
672,47.5427,-122.181,98006
673,47.6462,-122.318,98102
674,47.4406,-122.146,98058
675,47.705,-122.202,98034
676,47.4965,-121.785,98045
677,47.5024,-122.271,98178
678,47.5304,-122.387,98136
679,47.544,-121.872,98065
680,47.291,-122.368,98023
681,47.6932,-122.006,98053
682,47.3558,-122.004,98038
683,47.5536,-122.359,98106
684,47.6942,-122.321,98115
685,47.5462,-122.182,98006
686,47.2918,-122.346,98023
687,47.5441,-121.882,98065
688,47.6982,-122.298,98115
689,47.7415,-122.101,98072
690,47.4862,-122.224,98055
691,47.5553,-122.22,98040
692,47.4406,-122.141,98058
693,47.6997,-122.316,98115
694,47.6726,-122.03,98053
695,47.3702,-122.185,98030
696,47.5896,-122.083,98075
697,47.3923,-122.311,98198
698,47.3664,-122.1,98042
699,47.5894,-122.195,98004
700,47.5708,-122.359,98106
701,47.5156,-122.262,98118
702,47.589,-122.177,98005
703,47.6385,-122.37,98119
704,47.4672,-122.291,98188
705,47.3444,-122.327,98198
706,47.731,-122.191,98034
707,47.7646,-122.271,98155
708,47.5015,-122.124,98059
709,47.2413,-121.972,98022
710,47.4206,-122.183,98031
711,47.3575,-122.28,98001
712,47.6285,-122.025,98074
713,47.3437,-122.316,98003
714,47.7573,-122.22,98011
715,47.3745,-122.275,98032
716,47.7359,-122.309,98155
717,47.7142,-122.286,98125
718,47.7142,-122.286,98125
719,47.3131,-121.998,98010
720,47.3668,-122.031,98038
721,47.6893,-122.349,98103
722,47.635,-122.164,98005
723,47.6664,-122.131,98052
724,47.4938,-122.255,98178
725,47.4525,-122.162,98058
726,47.3825,-122.319,98198
727,47.5326,-122.376,98126
728,47.4818,-122.161,98059
729,47.7287,-122.077,98077
730,47.4908,-122.225,98055
731,47.4429,-121.759,98045
732,47.7336,-121.965,98019
733,47.7591,-122.28,98155
734,47.3591,-122.201,98030
735,47.4388,-122.162,98058
736,47.7004,-122.368,98117
737,47.5633,-122.131,98006
738,47.6585,-122.273,98105
739,47.3415,-122.272,98001
740,47.3818,-122.2,98030
741,47.695,-122.366,98117
742,47.7479,-122.062,98077
743,47.7422,-122.073,98077
744,47.6921,-122.38,98117
745,47.7533,-122.198,98011
746,47.5793,-122.402,98116
747,47.7767,-122.239,98028
748,47.6988,-122.387,98117
749,47.7121,-122.214,98034
750,47.7447,-122.313,98155
751,47.5671,-122.405,98116
752,47.5646,-122.317,98108
753,47.717,-122.02,98053
754,47.6374,-122.279,98112
755,47.3272,-122.355,98023
756,47.5511,-122.157,98006
757,47.5912,-122.384,98116
758,47.5987,-122.178,98005
759,47.5132,-122.262,98118
760,47.6333,-121.97,98053
761,47.5818,-122.387,98116
762,47.7576,-121.934,98019
763,47.3608,-122.043,98038
764,47.4987,-122.166,98056
765,47.6216,-122.056,98074
766,47.6051,-122.195,98004
767,47.363,-122.08,98042
768,47.6777,-122.287,98115
769,47.3384,-122.336,98023
770,47.4598,-122.15,98058
771,47.5089,-122.189,98056
772,47.7751,-122.38,98177
773,47.6797,-122.362,98117
774,47.5771,-122.144,98006
775,47.6188,-122.114,98008
776,47.4802,-122.279,98168
777,47.6101,-122.295,98122
778,47.3314,-122.172,98092
779,47.6196,-122.286,98112
780,47.475,-122.11,98059
781,47.7146,-122.217,98034
782,47.7073,-122.356,98133
783,47.6583,-122.351,98103
784,47.6261,-122.125,98008
785,47.3109,-122.376,98023
786,47.6949,-122.371,98117
787,47.4691,-121.993,98027
788,47.3289,-122.327,98003
789,47.5293,-122.363,98106
790,47.6792,-122.115,98052
791,47.6337,-122.044,98074
792,47.5506,-122.134,98006
793,47.492,-122.333,98168
794,47.4781,-122.294,98168
795,47.7041,-122.355,98133
796,47.6304,-121.994,98053
797,47.6815,-122.198,98033
798,47.5341,-121.867,98065
799,47.7354,-122.078,98077
800,47.6518,-122.335,98103
801,47.5619,-122.162,98006
802,47.7148,-122.205,98034
803,47.746,-122.218,98011
804,47.5222,-122.375,98126
805,47.5756,-122.01,98029
806,47.3405,-122.058,98042
807,47.5433,-122.185,98006
808,47.6799,-122.034,98053
809,47.39,-122.153,98042
810,47.6329,-122.121,98008
811,47.6124,-122.309,98122
812,47.4802,-122.179,98056
813,47.5839,-121.991,98075
814,47.5602,-122.227,98040
815,47.3077,-122.011,98010
816,47.5707,-122.017,98029
817,47.3839,-122.225,98030
818,47.539,-122.188,98059
819,47.2118,-121.983,98022
820,47.2597,-122.228,98092
821,47.393,-122.184,98031
822,47.6347,-122.396,98199
823,47.7493,-122.351,98133
824,47.7493,-122.351,98133
825,47.5282,-122.279,98118
826,47.682,-122.348,98103
827,47.4778,-122.286,98168
828,47.6357,-122.123,98008
829,47.5771,-122.05,98075
830,47.6898,-122.327,98115
831,47.4622,-122.127,98058
832,47.3102,-122.381,98023
833,47.6061,-122.117,98008
834,47.294,-122.281,98001
835,47.3272,-122.362,98023
836,47.7176,-122.033,98053
837,47.7176,-122.033,98053
838,47.3748,-122.276,98032
839,47.3337,-122.191,98092
840,47.5033,-122.3,98168
841,47.7321,-122.34,98133
842,47.5719,-122.119,98006
843,47.2477,-121.937,98022
844,47.7027,-122.361,98177
845,47.4723,-122.121,98059
846,47.6645,-122.325,98105
847,47.7738,-122.203,98011
848,47.6618,-122.136,98052
849,47.3085,-122.376,98023
850,47.5691,-121.996,98029
851,47.3841,-122.006,98038
852,47.5446,-122.385,98136
853,47.7557,-122.237,98028
854,47.2635,-122.209,98092
855,47.4829,-122.128,98059
856,47.3898,-122.049,98038
857,47.5152,-122.197,98056
858,47.5081,-122.093,98027
859,47.3729,-122.115,98042
860,47.481,-122.323,98168
861,47.6742,-122.284,98115
862,47.6963,-122.169,98033
863,47.5951,-122.307,98144
864,47.2658,-122.219,98092
865,47.3576,-122.039,98038
866,47.4802,-122.188,98056
867,47.5682,-122.005,98029
868,47.5517,-122.276,98118
869,47.3122,-122.191,98092
870,47.5962,-122.288,98144
871,47.6071,-122.137,98007
872,47.6652,-122.188,98033
873,47.6323,-122.036,98074
874,47.5611,-122.106,98006
875,47.404,-122.203,98031
876,47.7356,-122.198,98011
877,47.3586,-122.314,98198
878,47.494,-122.307,98168
879,47.7004,-122.305,98115
880,47.5507,-122.381,98136
881,47.2959,-122.191,98092
882,47.6675,-122.289,98105
883,47.6402,-122.37,98119
884,47.6209,-122.222,98004
885,47.6094,-122.291,98122
886,47.6608,-122.333,98103
887,47.7364,-122.193,98011
888,47.7438,-122.172,98072
889,47.6724,-122.013,98053
890,47.6476,-122.318,98102
891,47.3782,-122.127,98042
892,47.5185,-122.352,98106
893,47.526,-122.361,98106
894,47.5922,-122.146,98007
895,47.5368,-122.216,98040
896,47.7637,-122.05,98077
897,47.6916,-122.188,98033
898,47.3592,-122.076,98042
899,47.5627,-122.215,98040
900,47.7418,-122.039,98077
901,47.5134,-122.2,98056
902,47.5492,-122.372,98126
903,47.4614,-122.168,98058
904,47.69,-122.304,98115
905,47.3627,-122.037,98038
906,47.3969,-122.198,98031
907,47.5728,-122.304,98144
908,47.5499,-122.391,98136
909,47.3113,-122.207,98002
910,47.639,-122.1,98052
911,47.3315,-122.263,98001
912,47.5353,-122.349,98106
913,47.4315,-122.192,98055
914,47.6733,-122.301,98115
915,47.6655,-122.369,98107
916,47.4095,-122.195,98031
917,47.527,-122.356,98106
918,47.4599,-122.172,98058
919,47.3702,-122.317,98198
920,47.6903,-121.915,98014
921,47.4405,-122.28,98188
922,47.5371,-122.218,98040
923,47.5666,-122.375,98126
924,47.6597,-122.204,98033
925,47.4046,-122.186,98031
926,47.5383,-122.268,98118
927,47.7052,-122.343,98133
928,47.4417,-122.09,98058
929,47.5355,-122.283,98118
930,47.7096,-122.199,98034
931,47.3414,-122.047,98010
932,47.3023,-122.069,98092
933,47.6804,-122.358,98117
934,47.6972,-122.4,98117
935,47.3556,-122.026,98038
936,47.7463,-122.315,98155
937,47.3545,-122.158,98042
